X500, h500, X1000, h1000, X1500, h1500, X2000, h2000, X3500, h3500, X4500, h4500, X7500, h7500, X10000, h10000, X61n1500, h61n1500, X61n2500, h61n2500
, , , , , , , , , , , , 5,80627, 2,63043, , , , , , 
, , , , , , , , , , , , 5,89797, 1,69565, , , , , , 
, , , , , , , , , , , , 5,924, 0,6318, , , , , , 
, , , , , , , , , , , , 6,01567, 0,56522, , , , , , 
, , , , , , , , , , , , 6,08139, 0, , , , , , 
, , , , , , , , , , , , 6,1731, -0,36957, , , , , , 
, , , , , , , , , , , , 6,26634, -0,93478, , , , , , 
, , , , , , , , , , , , 6,33206, -0,56522, , , , , , 
, , , , , , , , , , , , 6,41001, -0,93478, , , , , , 
, , , , , , , , , , , , --, , , , , , , 
, , , , , , , , , , , , --, , , , , , , 
, , , , , , , , , , , , --, , , , , , , 
